Suburb,Place_id,commercial.shopping_mall,catering,education,entertainment,healthcare,public_transport,office,natural,total
The basin,510da661f8482a6240595672045f87ed42c0f00101f90196f3240000000000c00205,0,7,3,1,0,0,0,16,27
The honeysuckles,51b52561950167624059824d428e522d43c0f00103f901741d749000000000c0020692031054686520486f6e65797375636b6c6573,0,1,1,0,0,0,0,20,22
The patch,51eed2e17c852c624059d919f043eff142c0f00101f901d802250000000000c00205,0,0,1,2,0,5,0,16,24
Thomastown,513dd8bd704220624059fa36b34c75d742c0f00101f901ae6b240000000000c00205,0,15,10,0,8,20,8,14,75
Thomson (greater geelong),515e5d5f35200c62405934c97eccbd1543c0f00101f901bc7a250000000000c00205,0,3,4,0,0,5,0,0,12
Thornbury,5147e28a302a206240596fb2b2220fe142c0f00101f901a759240000000000c00205,0,20,8,3,20,20,17,7,95
Thornhill park,51a08b868c0714624059b0a481c41bdd42c0f00101f901e3f76f0000000000c00205,0,0,1,0,0,1,0,2,4
Timboon,51691f86b160df614059e24bf26d0b3e43c0f00101f901071a300000000000c00207,0,8,1,0,1,0,0,20,30
Tongala,5103290c256e1e6240592b7af18f082042c0f00101f901c738260000000000c00207,1,0,2,0,0,0,0,20,23
Toongabbie,51701f5e7cf653624059a59d3f129b0743c0f00103f90118648f0300000000c0020892030a546f6f6e676162626965,0,2,1,0,0,1,0,20,24
Toora,517edd8e15614a6240598af5fc1f165543c0f00103f90152277f8b00000000c00207920305546f6f7261,0,2,1,0,0,0,0,15,18
Tooradin,515e3ea3be362c6240596ab290ca5e1b43c0f00101f9018b3b250000000000c00208,0,11,1,1,2,2,1,14,32
Toorak,519bc6f65a90206240591eadc502baeb42c0f00101f9014762240000000000c00205,1,3,6,0,4,20,1,1,36
Tootgarook,51e298c008351b6240598b259b61593043c0f00101f901ab67250000000000c00205,0,1,1,0,0,10,0,3,15
Torquay,512c0a606f070a6240592bc995d5cf2943c0f00101f9013a8e290000000000c00207,1,20,6,2,5,19,5,20,78
Trafalgar,5179dd6cbdf044624059cbc80f4bb91a43c0f00103f9013e454a0300000000c0020792030954726166616c676172,0,8,3,0,0,1,0,20,32
Traralgon,516984c8333951624059ffed0d19ea1843c0f00101f90166cb270000000000c00207,1,20,13,1,18,3,20,20,96
Traralgon east,51a4f3d5f6d052624059438f183db71743c0f00101f90164cb270000000000c00206,0,3,0,0,0,1,0,17,21
Travancore,51ebc9fca3ef1d624059dfd627caefe342c0f00101f9016590240000000000c00205,0,2,2,0,1,2,3,5,15
Trentham,514f2d115e710a624059098a1f63eeb142c0f00101f9019195250000000000c00207,0,8,1,0,2,1,0,20,32
Truganina,51d89b18921317624059b91798158ae742c0f00101f9017c02250000000000c00205,0,5,7,0,2,6,5,20,45
Tullamarine,51f0f0e890e51b624059b16ebc3b32da42c0f00101f901a0a8240000000000c00205,0,15,2,0,0,15,3,7,42
Tyabb,51870f913ffd25624059ebf6a3f2c02143c0f00101f9019f3a250000000000c00205,0,3,4,0,0,1,1,20,29
Underbool,51ff3c0d18e4b9614059176f1a91de9541c0f00101f901847e2f0000000000c00207,0,0,1,0,1,0,0,20,22
Upper ferntree gully,519d4a0680ea296240591d0c2bcbc6f242c0f00101f901b3f3240000000000c00205,0,12,1,1,1,8,0,8,31
Upwey,51f87c83e57e2a62405905a8041fdef342c0f00101f9018bfb240000000000c00205,0,3,3,4,1,4,0,20,35
Ventnor,51deedd5227d256240595bfe8d87083c43c0f00101f901ef77250000000000c00208,0,2,1,0,0,2,0,20,25
Venus bay,51b4c92ca66639624059a3224e27d95643c0f00101f90112ca280000000000c00206,0,5,0,0,0,0,0,4,9
Vermont,51b51a12f7582662405990ea854c43eb42c0f00101f9014b97240000000000c00205,0,0,4,0,1,8,0,6,19
Vermont south,513defc682022662405983143c855ced42c0f00101f901bc99240000000000c00205,1,8,6,0,7,20,0,20,62
Viewbank,51290d90c3fb226240599d3c7661b5de42c0f00101f901ee4f240000000000c00205,1,3,2,0,5,0,1,20,32
Violet town,51fad6e2aef936624059ee5234208c5142c0f00101f901cbf2260000000000c00207,0,0,1,0,0,1,0,20,22
Wahgunyah,519eb9e23da24c6240591a7332cc640142c0f00101f9012b7c270000000000c00208,0,4,1,0,0,3,0,20,28
Walkerville,51ea549ee5de3f62405948b945aa396d43c0f00103f901d703614c00000000c0020892030b57616c6b657276696c6c65,0,0,0,0,0,0,0,20,20
Wallan,51149a7f4f471f624059f1643733fab442c0f00101f90157fc240000000000c00207,1,20,4,0,3,20,3,20,71
Wallan east,5195b7239c161f6240598a1ef818acb442c0c00208e2031e77686f736f6e66697273743a6c6f63616c6974793a313031393430353033,1,20,4,0,3,20,3,20,71
Wandana heights,51a1342fe29609624059f34fba3ebd1643c0f00101f901508c250000000000c00205,0,0,1,0,0,2,0,1,4
Wandin north,5105700e32a42d624059825660c8eae342c0f00101f9014702250000000000c00205,0,8,2,1,2,13,1,20,47
Wandong,51e8829fdd0621624059c0159a35c2ae42c0f00103f901706403eb00000000c0020792030757616e646f6e67,1,10,1,0,1,5,0,20,38
Wangaratta,51ce93c6c3564a624059d55526a1992d42c0f00101f9010c18270000000000c00207,0,20,14,4,18,20,2,20,98
Wantirna,51df69d7293b276240594c5b125619ed42c0f00101f901f99a240000000000c00205,0,20,8,0,12,20,6,20,86
Wantirna south,51088f368e18276240595c48765bd8ef42c0f00101f901ba9d240000000000c00205,1,20,10,2,11,20,10,12,86
Warburton,516f2c280c0a36624059a6040eb276e042c0f00101f9012a59250000000000c00207,0,17,1,2,2,6,0,20,48
Warneet,5127648cb4f929624059e0d34103561c43c0f00101f901813a250000000000c00208,0,0,0,0,0,0,0,10,10
Warracknabeal,518a3c49baa6cc614059d7af2ab1212042c0f00101f901ca6f2f0000000000c00207,0,4,4,1,0,1,0,20,30
Warragul,511cb3ec49e03d62405945b357c4551443c0f00101f901a46f280000000000c00207,4,20,12,4,20,4,20,20,104
Warrandyte,5167cde4ba4827624059d56c2fb319e142c0f00101f9018bfd3a0000000000c0020592031357617272616e64797465204469737472696374,4,20,20,5,16,20,13,20,118
Warranwood,51b655ffd60428624059bae067b7f1e242c0f00101f9015f9d240000000000c00205,0,4,3,0,0,20,2,8,37
Warrnambool,516f4507c967cf614059aa1496d3f93043c0f00101f901dd3b300000000000c00207,4,20,20,8,6,7,3,20,88
Waterways,51b91226312d2462405962985d41e40143c0f00101f9019ef3240000000000c00205,0,1,0,0,0,1,0,13,15
Watsonia,51ac06bc27aa226240595599733adada42c0f00101f9015d58240000000000c00205,8,19,5,1,3,17,4,6,63
Watsonia north,51317daf21b8226240597d410b0918d942c0f00101f9016e59240000000000c00205,0,0,1,1,0,2,0,3,7
Wattle glen,51e73004a5cd25624059454b79083ed542c0f00101f9018d8e240000000000c00205,0,1,1,0,0,3,0,20,25
Waurn ponds,518ac2d3d0ab096240599d24a7c0131a43c0f00101f9013b8e290000000000c00205,2,5,5,1,1,9,1,20,44
Wedderburn,517a9164b1a8f3614059922f57f5a83542c0f00101f9011d412f0000000000c00207,0,4,1,1,0,1,1,20,28
Weir views,519198a086ef246240593eeaaf57585e42c0f00102f901ae157c0100000000c00201e203206f70656e7374726565746d61703a76656e75653a7761792f3234393039323330,0,0,2,0,1,0,1,20,24
Welshpool,5137058df4fd4d624059c3b414353d5543c0f00103f9014826980300000000c0020692030957656c7368706f6f6c,0,3,1,1,0,0,0,20,25
Wendouree,511826ee2474fa6140590a0f9a5df7c342c0f00101f901e8be2f0000000000c00206,3,17,6,1,3,20,8,17,75
Wendouree west,5190e85ecd30fa6140597ed1d4a189c342c0f00102f9019d75791e00000000c0020192030e57656e646f757265652057657374,4,20,20,6,10,20,20,20,120
Werribee,513acfd8972c1562405949a35de04df342c0f00101f9014518250000000000c00205,3,20,20,4,18,20,6,20,111
Werribee south,51942efd4b521662405924b891b245f842c0f00101f9014418250000000000c00205,0,3,2,3,0,0,0,20,28
Wesburn,51718e3a3aae3462405921c77b7a11e242c0f00101f901585f250000000000c00208,0,1,1,0,0,0,0,20,22
West bendigo,518c60f10ddc07624059d4449f8f326042c0f00101f9010e022f0000000000c00206,0,1,0,0,0,2,0,6,9
West footscray,518d85d7e4df1b624059e04499b278e642c0f00101f90160a9240000000000c00205,0,9,3,0,3,20,3,0,38
West melbourne,51c5bb6df08f1d6240597ade8d0585e742c0f00101f9019997240000000000c00205,0,20,2,1,5,20,20,15,83
West wodonga,51cea96400285b6240599b4649fe161042c0f00103f901d3f6bb9900000000c0020592030c5765737420576f646f6e6761,2,20,20,3,8,20,7,20,100
Westall,518869dfdc5fef614059aa61bf27d68142c0c0020a920308566963746f726961e2031b77686f736f6e66697273743a726567696f6e3a3835363831343937,0,0,0,0,0,1,0,3,4
Westgarth,514d5cd8e4fa1f624059e3f43f0ae8e342c0f00103f901102dcd0100000000c00201920309576573746761727468,20,20,20,20,20,20,20,20,160
Westmeadows,51d7eabcd79a1c62405929779fe3a3d642c0f00101f9018da5240000000000c00205,0,14,2,0,1,12,0,11,40
Wheelers hill,51a11001871026624059e5d6ff9485f442c0f00101f901a1a8240000000000c00205,2,13,10,2,6,20,1,10,64
White hills,51048cd3b5db0962405978f6f0c05b5d42c0f00103f9017c86381300000000c0020792030b57686974652048696c6c73,3,20,20,11,20,20,20,20,134
Whittington,512a9c93cd8b0c6240591fca6141ab1643c0f00101f901797a250000000000c00205,1,1,2,0,0,0,0,0,4
Whittlesea,5110e61b76c4236240590b66a77a8dc142c0f00101f9016af9240000000000c00207,0,7,3,3,1,19,0,20,53
Williams landing,511d0f6c4bd317624059cca6125443ee42c0f00101f9011601250000000000c00205,1,5,0,0,2,11,1,9,29
Williamstown,51d7732db5791c62405917015f1b3bee42c0f00101f901a1a9240000000000c00205,0,20,8,1,2,12,4,14,61
Williamstown north,516d0613dacd1b624059474b2f7b23ed42c0f00101f901efc6240000000000c00205,0,1,0,2,0,3,0,0,6
Willow grove,5147448c32b6456240598b338639410943c0f00101f90125ab270000000000c00208,0,1,1,0,0,0,0,20,22
Wimbledon heights,511903eb387e27624059f98c9f21773d43c0f00101f901ea77250000000000c00208,0,0,0,0,0,1,0,2,3
Winchelsea,51d624d3fc8cff6140594613ded4f61e43c0f00101f9013ab2290000000000c00207,0,5,1,0,1,1,0,20,28
Windsor,51fab5f5d3bf1f6240594518f5ff60ed42c0f00101f901cc8f240000000000c00205,0,20,5,0,2,10,1,0,38
Winter valley,517e5c668d6df9614059821ec59423ca42c0f00101f9016866b20000000000c00206,0,1,0,0,0,0,0,1,2
Wodonga,518bf3812e6b5c624059dff3684f6e0f42c0f00101f9011e47240000000000c00207,1,20,11,3,8,20,6,20,89
Wollert,512889db571421624059f0d709d407cc42c0f00101f9019d9a240000000000c00205,0,2,6,0,0,5,0,20,33
Wonga park,51d184dcfb8a28624059d09e268e97de42c0f00101f901d09d240000000000c00205,1,1,2,0,0,5,0,20,29
Wonthaggi,51aec6c848ec326240599066d1e05b4d43c0f00101f9016576280000000000c00207,2,19,9,4,18,20,12,20,104
Woodend,5186e1c8a817116240590c48b19245ad42c0f00101f901b772250000000000c00208,0,4,4,0,0,2,0,20,30
Woolamai waters,51a1a17f828b30624059ecbfce4d9b4143c0c00206e2032077686f736f6e66697273743a6c6f63616c61646d696e3a343034353430383337,0,0,1,0,0,0,0,20,21
Woori yallock,51177838cbf6306240593219332ec1e342c0f00101f901f01e250000000000c00208,0,4,1,0,1,5,1,20,32
Wurruk,513adb167ebf606240597edfbf79710e43c0f00101f90139d9270000000000c00206,0,0,1,0,0,0,0,7,8
Wy yung,514ab6ba9cd273624059e202d0285de742c0f00103f90151dc941f00000000c0020792030757792059756e67,0,20,14,4,2,1,5,20,66
Wycheproof,516c3299e04ae76140593c2de4b6220a42c0f00101f9018c572f0000000000c00207,0,2,1,1,1,2,0,20,27
Wyndham vale,5116fc36c4f8136240594555021885f142c0f00101f901d82d250000000000c00205,2,7,4,0,2,8,1,20,44
Yackandandah,518593d9c5d95a6240597b78e0ad3d2842c0f00103f90133829c0900000000c0020792030c5961636b616e64616e646168,0,3,2,0,0,1,1,20,27
Yallambie,51d10e6e21fe2262405900581d39d2dc42c0f00101f9015e58240000000000c00205,0,1,1,1,0,5,2,9,19
Yallourn north,51b30b06d79c4b6240598675e3dd911443c0f00103f901a67ca65f00000000c0020892030e59616c6c6f75726e204e6f727468,0,0,2,1,0,0,0,20,23
Yarra glen,51afb7280efb2b624059be4d7ff623d442c0f00101f9018ffb240000000000c00207,0,11,1,0,0,4,0,20,36
Yarra junction,519816f549ae33624059b5b7a51f1ee442c0f00101f901ea3a250000000000c00208,0,7,7,1,2,1,3,18,39
Yarragon,515caf44fbf341624059e3e4d940151a43c0f00103f9014d454a0300000000c002089203085961727261676f6e,0,5,1,1,0,1,0,15,23
Yarram,515419c6dda0556240595b4bb7dbe44743c0f00101f9017f18290000000000c00207,1,1,4,2,0,0,1,20,29
Yarraville,513f92edd7381c624059093b2064b4e842c0f00101f901b1a5240000000000c00205,0,20,5,1,6,20,17,16,85
Yarrawonga,512d2ba8033440624059244edd4bd00142c0f00101f901e562270000000000c00207,0,7,5,0,2,0,0,20,34
Yea,5192f249dd842d62405924004922459b42c0f00101f9013459250000000000c00207,0,20,4,1,2,0,10,20,57
Yinnar,51f37a8be2704a624059a7c013c48a2943c0f00103f9018cb115cd00000000c0020692030659696e6e6172,0,2,1,2,1,2,0,12,20
